,Dap,Dap,Dap,Dap,Dap,Dap,Dap,Dap,HC,HC,HC,HC,HC,HC,HC,HC,HT,HT,HT,HT,HT,HT,HT,HT,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,ESTE,ESTE,ESTE,ESTE,ESTE,ESTE,ESTE,ESTE,NORTE,NORTE,NORTE,NORTE,NORTE,NORTE,NORTE,NORTE
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Marupa,15.0,52.733333333333334,5.573747990954261,46.0,48.5,51.0,56.0,66.0,15.0,17.333333333333332,2.380476142847616,12.0,17.0,17.0,18.0,22.0,15.0,21.2,2.042407542932745,19.0,19.5,21.0,21.5,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,675194.7333333333,1298.93299434941,673594.0,673985.5,675378.0,676326.0,677045.0,15.0,9631922.666666666,890.3370683275493,9630687.0,9631570.5,9631810.0,9632188.0,9634452.0
Mashonaste,4.0,46.75,4.856267428111155,44.0,44.0,44.5,47.25,54.0,4.0,14.5,3.3166247903554,10.0,13.75,15.0,15.75,18.0,4.0,20.25,2.9860788111948193,17.0,18.5,20.0,21.75,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,674717.5,998.736702039131,673827.0,673869.75,674683.5,675531.25,675676.0,4.0,9632438.75,1383.0607060670427,9631278.0,9631770.0,9632016.5,9632685.25,9634444.0
Moena,3.0,55.333333333333336,3.511884584284246,52.0,53.5,55.0,57.0,59.0,3.0,17.0,1.0,16.0,16.5,17.0,17.5,18.0,3.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,676678.0,764.672478908454,675828.0,676362.0,676896.0,677103.0,677310.0,3.0,9631309.0,664.8526152464168,9630776.0,9630936.5,9631097.0,9631575.5,9632054.0
Palisangre,37.0,67.24324324324324,16.7620692925118,42.0,54.0,67.0,75.0,110.0,37.0,16.2972972972973,2.3317240267529384,10.0,15.0,17.0,18.0,21.0,37.0,20.43243243243243,2.167186354861228,16.0,19.0,20.0,22.0,27.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,675150.1081081082,1459.802931596967,673624.0,673966.0,674324.0,676277.0,677957.0,37.0,9632207.486486487,1312.374769086382,9630621.0,9631349.0,9631824.0,9632809.0,9636344.0
Palta moena,5.0,56.2,8.228000972289685,47.0,48.0,59.0,62.0,65.0,5.0,16.0,1.4142135623730951,14.0,16.0,16.0,16.0,18.0,5.0,19.8,0.8366600265340756,19.0,19.0,20.0,20.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,674867.6,1443.3618049539762,673680.0,674016.0,674387.0,674946.0,677309.0,5.0,9632616.4,1396.5422657406398,9630861.0,9631398.0,9633189.0,9633706.0,9633928.0
Panguana,20.0,67.4,20.048362579155015,47.0,55.5,60.0,75.0,135.0,20.0,16.9,3.1102546857976625,12.0,15.75,17.5,18.25,24.0,20.0,21.1,2.770141550629916,16.0,19.75,21.5,22.25,28.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,675233.25,1215.714988889471,673576.0,673996.5,675214.0,676348.75,677328.0,20.0,9632139.15,1803.4911837877112,9630642.0,9631060.0,9631390.0,9632329.75,9636308.0
Pashaco,45.0,63.266666666666666,13.966518405230286,46.0,54.0,59.0,66.0,115.0,45.0,16.31111111111111,2.826998265284079,11.0,15.0,16.0,18.0,23.0,45.0,21.022222222222222,2.3499408976019422,17.0,19.0,21.0,23.0,26.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,674959.911111111,1291.9236154985433,673569.0,673967.0,674575.0,675432.0,678078.0,45.0,9632739.977777777,1959.2150618515207,9630659.0,9631387.0,9631981.0,9634279.0,9636694.0
Quillosisa,17.0,55.23529411764706,6.609930141127683,46.0,50.0,55.0,58.0,69.0,17.0,16.352941176470587,1.9981609191512903,12.0,15.0,16.0,18.0,20.0,17.0,20.294117647058822,1.829094922439543,17.0,19.0,20.0,21.0,24.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,675141.0,1457.646604976666,673574.0,673850.0,674321.0,676812.0,677193.0,17.0,9632793.94117647,2025.48668443501,9630817.0,9631443.0,9631977.0,9634732.0,9636383.0
Quinilla,2.0,47.0,7.0710678118654755,42.0,44.5,47.0,49.5,52.0,2.0,14.0,2.8284271247461903,12.0,13.0,14.0,15.0,16.0,2.0,19.0,0.0,19.0,19.0,19.0,19.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,673697.5,126.572113832392,673608.0,673652.75,673697.5,673742.25,673787.0,2.0,9631872.0,417.19300090006305,9631577.0,9631724.5,9631872.0,9632019.5,9632167.0
Requia,3.0,62.0,6.082762530298219,55.0,60.0,65.0,65.5,66.0,3.0,17.0,1.0,16.0,16.5,17.0,17.5,18.0,3.0,20.0,1.0,19.0,19.5,20.0,20.5,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,675633.3333333334,1699.6294694236547,673702.0,674999.5,676297.0,676599.0,676901.0,3.0,9633156.0,3018.300349534486,9631148.0,9631420.5,9631693.0,9634160.0,9636627.0
Sacha casho,6.0,55.833333333333336,11.214573851318056,50.0,50.0,50.0,55.25,78.0,6.0,17.833333333333332,1.6020819787597222,16.0,16.5,18.0,18.75,20.0,6.0,21.666666666666668,1.505545305418162,20.0,20.25,22.0,23.0,23.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,674675.0,1293.4612479699576,673670.0,673822.75,674174.0,674994.0,677059.0,6.0,9632705.0,843.0034400878801,9631909.0,9632056.5,9632414.5,9633377.0,9633857.0
Tornillo,10.0,81.1,28.79988425902669,61.0,63.0,66.5,92.75,147.0,10.0,18.2,2.043961295567452,15.0,16.5,18.0,20.0,21.0,10.0,23.1,1.9692073983655904,20.0,21.5,23.0,24.75,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,675600.7,1451.7446247724,673820.0,674321.75,675291.5,676658.0,677949.0,10.0,9632233.9,1932.1831319922953,9630620.0,9631142.0,9631292.5,9632116.25,9635808.0
Yacushapana,18.0,65.88888888888889,13.208236685487934,43.0,57.25,65.0,69.75,100.0,18.0,17.77777777777778,2.365326878431407,12.0,16.25,18.0,19.0,23.0,18.0,21.833333333333332,1.9478494929174643,19.0,20.0,22.0,23.0,26.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,674679.5,1269.8641543835447,673613.0,673756.0,674025.5,675292.0,677703.0,18.0,9632660.277777778,1930.2143070762456,9630712.0,9631303.25,9631993.0,9633106.25,9636684.0
Zapotillo,15.0,55.93333333333333,8.021993577183975,46.0,50.0,55.0,61.5,69.0,15.0,18.133333333333333,2.774029216723951,14.0,16.0,18.0,19.5,24.0,15.0,22.2,2.8334733858943215,18.0,20.0,22.0,23.5,28.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,674943.3333333334,1400.245267631285,673603.0,673913.5,674159.0,675779.0,678040.0,15.0,9632097.466666667,1656.7317597636388,9630621.0,9631009.5,9631538.0,9632266.5,9636508.0
