N°,PC,Bloq,Faja,N° de árbol,Especie (Exp inicial),Especie Reformulada,Código,Diametro (cm),Alt Cial (m),Volumen (m3),Coord  Este,Coord Norte,Condición 1,Fecha tala-Real,N°OP Parte,Código de Árbol,R,Especie Tala,D1 (cm),D2 (cm),L (m),Vol. (m3) Talado,Condición de Tala,Observación,FECHA-ARRASTRE,Obervacion,Fecha Trozado,N° Parte,CORRELATIVO,Codigo Patio,Especie Trozado,D1 (cm),D2 (cm),L (m),Vol. (m3) Trozado,Condición de Tala,Observación,n° de arboles
101,3,1,5,6,Quillosisa,Quillosisa,1-5-6,64,14,2.927,647484,9508129,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
102,3,1,5,7,Quillosisa,Quillosisa,1-5-7,70,14,3.502,647464,9508136,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
103,3,1,5,8,Cumala,Cumala,1-5-8,66,16,3.558,647489,9508083,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
104,3,1,5,9,Azucar huayo,Azucar huayo,1-5-9,78,16,4.970,647475,9508007,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
105,3,1,5,10,Cumala,Cumala,1-5-10,68,16,3.777,647507,9507977,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
106,3,1,5,11,Moena,Moena,1-5-11,65,14,3.020,647496,9507959,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
107,3,1,5,12,Cumala,Cumala,1-5-12,62,16,3.140,647488,9507956,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
108,3,1,5,14,Quillosisa,Quillosisa,1-5-14,84,14,5.043,647478,9507905,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
109,3,1,5,16,Mari mari,Mari mari,1-5-16,84,18,6.484,647493,9507895,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
110,3,1,5,17,Cachimbo,Cachimbo,1-5-17,85,18,6.639,647497,9507884,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
111,3,1,5,18,Quillosisa,Quillosisa,1-5-18,61,11,2.090,647471,9507868,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
112,3,1,5,19,Aguanillo,Aguanillo,1-5-19,64,16,3.346,647461,9507865,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
113,3,1,5,20,Quillosisa,Quillosisa,1-5-20,80,12,3.921,647460,9507831,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
114,3,1,5,21,Pashaco,Pashaco,1-5-21,70,14,3.502,647466,9507812,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
115,3,1,5,22,Cumaceba,Cumaceba,1-5-22,70,12,3.002,647473,9507803,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
116,3,1,5,23,Cumala,Cumala,1-5-23,72,14,3.705,647465,9507791,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
117,3,1,5,24,Quillosisa,Quillosisa,1-5-24,75,12,3.446,647480,9507717,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
118,3,1,5,25,Quillosisa,Quillosisa,1-5-25,80,12,3.921,647487,9507651,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
119,3,1,5,26,Pashaco,Pashaco,1-5-26,74,11,3.075,647472,9507586,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
120,3,1,5,27,Panguana,Panguana,1-5-27,72,15,3.970,647497,9507584,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
121,3,1,5,29,Pashaco,Pashaco,1-5-29,88,14,5.535,647472,9507450,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
122,3,1,5,31,Quillosisa,Quillosisa,1-5-31,62,13,2.551,647492,9507345,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
123,3,1,5,32,Quillosisa,Quillosisa,1-5-32,68,12,2.833,647487,9507274,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
124,3,1,5,33,Pashaco,Pashaco,1-5-33,89,14,5.661,647483,9507267,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
125,3,1,5,34,Moena,Moena,1-5-34,80,16,5.228,647465,9507259,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
126,3,1,5,35,Quillosisa,Quillosisa,1-5-35,78,14,4.348,647486,9507178,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
