N°,PC,Nro Arbol,Faja,Especie,Dap ,HC,HT,CF,VOL M3,ESTE,NORTE,Condicion,Obs,COD_cond,COD_sp1,COD_sp2,COD_GPS
39,1,39,1,Aguanillo,59,12,19,2,2.133,675807,9631159,Aprovechable,,,Agua,,Agua_1/39
40,1,40,1,Ana caspi,67,15,20,1,3.438,675820,9631156,Aprovechable,,,Ana ,ca,Ana  ca_1/40
41,1,41,1,Panguana,64,15,20,1,3.137,675819,9631178,Aprovechable,,,Pang,,Pang_1/41
42,1,42,1,Machimango,60,14,19,2,2.573,675801,9631198,Aprovechable,,,Mach,,Mach_1/42
43,1,43,1,Cumala caupuri,70,18,23,1,4.503,675801,9631218,Aprovechable,Cumala blanca,,Cuma,ca,Cuma ca_1/43
44,1,44,1,Cumala blanca,90,20,25,1,8.27,675785,9631225,Aprovechable,,,Cuma,bl,Cuma bl_1/44
45,1,45,1,Machimango,50,15,21,1,1.914,675786,9631240,Aprovechable,,,Mach,,Mach_1/45
46,1,46,1,Cumala blanca,80,18,24,1,5.881,675789,9631242,Aprovechable,,,Cuma,bl,Cuma bl_1/46
47,1,47,1,Almendro,130,13,20,1,11.216,675778,9631246,Aprovechable,,,Alme,,Alme_1/47
48,1,48,1,Anuje rumo,65,16,20,1,3.451,675759,9631292,Aprovechable,,,Anuj,ru,Anuj ru_1/48
49,1,49,1,Canela moena,46,16,21,1,1.728,675766,9631281,Aprovechable,,,Cane,mo,Cane mo_1/49
50,1,50,1,Canela moena,47,15,21,2,1.692,675743,9631250,Aprovechable,,,Cane,mo,Cane mo_1/50
51,1,51,1,Quinilla,51,15,20,1,1.992,675770,9631293,Aprovechable,,,Quin,,Quin_1/51
52,1,52,1,Pashaco,110,13,20,1,8.03,675791,9631334,Aprovechable,,,Pash,,Pash_1/52
53,1,53,1,Pashaco,92,16,22,1,6.914,675777,9631320,Aprovechable,,,Pash,,Pash_1/53
54,1,54,1,Andiroba,46,12,18,1,1.296,675758,9631323,Aprovechable,,,Andi,,Andi_1/54
55,1,55,1,Pashaco,80,15,21,1,4.901,675740,9631332,Aprovechable,,,Pash,,Pash_1/55
56,1,56,1,Caimitillo,50,12,20,1,1.532,675726,9631342,Aprovechable,,,Caim,,Caim_1/56
57,1,57,1,Almendro,72,13,19,1,3.44,675731,9631369,Aprovechable,,,Alme,,Alme_1/57
58,1,58,1,Cumala blanca,56,17,22,1,0,675749,9631385,Semillero,,S,Cuma,bl,S_Cuma bl_1/58
59,1,59,1,Yacushapana,55,14,19,1,2.162,675758,9631386,Aprovechable,,,Yacu,,Yacu_1/59
60,1,60,1,Quillosisa,60,14,20,1,2.573,675780,9631377,Aprovechable,,,Quil,,Quil_1/60
61,1,61,1,Cumala blanca,60,16,21,1,2.941,675789,9631365,Aprovechable,,,Cuma,bl,Cuma bl_1/61
62,1,62,1,Cumala blanca,72,14,20,1,3.705,675800,9631373,Aprovechable,,,Cuma,bl,Cuma bl_1/62
63,1,63,1,Copal,80,13,20,1,4.247,675756,9631437,Aprovechable,,,Copa,,Copa_1/63
64,1,64,1,Panguana,96,17,22,1,7.998,675767,9631460,Aprovechable,,,Pang,,Pang_1/64
65,1,65,1,Anuje rumo,70,12,23,1,3.002,675781,9631478,Aprovechable,,,Anuj,ru,Anuj ru_1/65
66,1,66,1,Andiroba,50,14,20,1,1.787,675788,9631489,Aprovechable,,,Andi,,Andi_1/66
67,1,67,1,Almendro,46,9,16,1,0,675805,9631514,Semillero,,S,Alme,,S_Alme_1/67
68,1,68,1,Yacushapana,53,16,22,1,2.294,675813,9631528,Aprovechable,,,Yacu,,Yacu_1/68
69,1,69,1,Canela moena,46,11,15,2,1.188,675807,9631536,Aprovechable,,,Cane,mo,Cane mo_1/69
70,1,70,1,Cumala blanca,54,15,21,1,2.233,675706,9631545,Aprovechable,,,Cuma,bl,Cuma bl_1/70
71,1,71,1,Anuje rumo,67,14,20,1,3.208,675797,9631550,Aprovechable,,,Anuj,ru,Anuj ru_1/71
72,1,72,1,Cumala llorona,46,13,19,1,0,675804,9631554,Semillero,,S,Cuma,ll,S_Cuma ll_1/72
73,1,73,1,Cumala llorona,46,13,19,1,0,675803,9631562,Semillero,,S,Cuma,ll,S_Cuma ll_1/73
74,1,74,1,Cumala llorona,48,15,20,2,1.764,675776,9631553,Aprovechable,,,Cuma,ll,Cuma ll_1/74
75,1,75,1,Quillosisa,57,14,18,1,2.322,675772,9631543,Aprovechable,,,Quil,,Quil_1/75
76,1,76,1,Andiroba,50,13,19,1,1.659,675730,9631542,Aprovechable,,,Andi,,Andi_1/76
77,1,77,1,Almendro,60,11,18,1,2.022,675723,9631538,Aprovechable,,,Alme,,Alme_1/77
78,1,78,1,Anuje rumo,67,13,18,2,2.979,675776,9631591,Aprovechable,,,Anuj,ru,Anuj ru_1/78
79,1,79,1,Machimango,56,16,20,1,2.562,675778,9631599,Aprovechable,,,Mach,,Mach_1/79
80,1,80,1,Yacushapana,48,12,18,2,1.411,675788,9631628,Aprovechable,,,Yacu,,Yacu_1/80
81,1,81,1,Caimitillo,60,11,18,2,2.022,675799,9631629,Aprovechable,,,Caim,,Caim_1/81
82,1,82,1,Mari mari,51,12,19,2,1.593,675763,9631675,Aprovechable,,,Mari,ma,Mari ma_1/82
83,1,83,1,Panguana,60,15,20,1,2.757,675786,9631723,Aprovechable,,,Pang,,Pang_1/83
84,1,84,1,Canela moena,47,10,16,2,1.128,675773,9631725,Aprovechable,,,Cane,mo,Cane mo_1/84
85,1,85,1,Cumala blanca,46,14,20,1,0,675785,9631764,Semillero,,S,Cuma,bl,S_Cuma bl_1/85
86,1,86,1,Almendro,90,12,19,2,4.962,675811,9631747,Aprovechable,,,Alme,,Alme_1/86
87,1,87,1,Cumala llorona,57,16,20,1,2.654,675814,9631742,Aprovechable,,,Cuma,ll,Cuma ll_1/87
88,1,88,1,Cumala blanca,47,12,18,1,1.353,675807,9631747,Aprovechable,,,Cuma,bl,Cuma bl_1/88
