N°,PC,Nro Arbol,Faja,Especie,Dap ,HC,HT,CF,VOL M3,ESTE,NORTE,Condicion,Obs,COD_cond,COD_sp1,COD_sp2,COD_GPS
841,1,776,13,Machimango,50,16,20,2,2.042,674889,9631820,Aprovechable,,,Mach,,Mach_1/776
842,1,777,13,Cumala llorona,73,17,21,1,4.625,674887,9631838,Aprovechable,,,Cuma,ll,Cuma ll_1/777
843,1,778,13,Caimitillo,80,12,16,1,3.921,674871,9631835,Aprovechable,,,Caim,,Caim_1/778
844,1,779,13,Cumala blanca,50,20,24,1,2.553,674858,9631844,Aprovechable,,,Cuma,bl,Cuma bl_1/779
845,1,780,13,Cumala blanca,55,18,21,2,2.78,674861,9631856,Aprovechable,,,Cuma,bl,Cuma bl_1/780
846,1,781,13,Zapotillo,49,10,16,1,1.226,674864,9631854,Aprovechable,,,Zapo,,Zapo_1/781
847,1,782,13,Pashaco,100,20,25,2,10.21,674846,9631856,Aprovechable,,,Pash,,Pash_1/782
848,1,783,13,Palisangre,90,18,24,1,7.443,674851,9631903,Aprovechable,,,Pali,,Pali_1/783
849,1,784,13,Copal,110,12,18,1,7.413,674846,9631921,Aprovechable,,,Copa,,Copa_1/784
850,1,785,13,Charapilla,90,19,23,2,7.857,674864,9631939,Aprovechable,,,Char,,Char_1/785
851,1,786,13,Anuje rumo,65,22,25,1,0,674855,9631957,Semillero,,S,Anuj,ru,S_Anuj ru_1/786
852,1,787,13,Anuje rumo,65,18,22,1,3.882,674852,9631464,Aprovechable,,,Anuj,ru,Anuj ru_1/787
853,1,788,13,Anuje rumo,52,16,21,1,2.209,674845,9631979,Aprovechable,,,Anuj,ru,Anuj ru_1/788
854,1,789,13,Panguana,56,18,23,2,2.882,674858,9631890,Aprovechable,,,Pang,,Pang_1/789
855,1,790,13,Zapotillo,66,23,27,1,0,674893,9632111,Semillero,,S,Zapo,,S_Zapo_1/790
856,1,791,13,Almendro,70,18,22,2,4.503,674904,9632097,Aprovechable,,,Alme,,Alme_1/791
857,1,792,13,Azucar huayo,63,19,23,1,3.85,674900,9632168,Aprovechable,,,Azuc,hu,Azuc hu_1/792
858,1,793,13,Panguana,63,19,22,2,3.85,674890,9632178,Aprovechable,,,Pang,,Pang_1/793
859,1,794,13,Almendro,87,10,17,2,3.864,674880,9632178,Aprovechable,,,Alme,,Alme_1/794
860,1,795,13,Machimango,60,16,20,2,2.941,674877,9632172,Aprovechable,,,Mach,,Mach_1/795
861,1,796,13,Machimango,67,18,22,2,4.125,674851,9632199,Aprovechable,,,Mach,,Mach_1/796
862,1,797,13,Ana caspi,150,20,25,1,22.973,674831,9632206,Aprovechable,,,Ana ,ca,Ana  ca_1/797
863,1,798,14,Palisangre,60,19,23,2,3.492,674799,9631984,Aprovechable,,,Pali,,Pali_1/798
864,1,799,14,Pashaco,75,17,22,2,4.882,674807,9631719,Aprovechable,,,Pash,,Pash_1/799
865,1,800,14,Panguana,63,24,28,1,0,674812,9631585,Semillero,,S,Pang,,S_Pang_1/800
866,1,901,14,Anuje rumo,65,18,23,1,3.882,674836,9631569,Aprovechable,,,Anuj,ru,Anuj ru_1/901
867,1,902,14,Copal,54,16,20,1,2.382,674838,9631570,Aprovechable,,,Copa,,Copa_1/902
868,1,903,14,Almendro,60,18,23,1,0,674802,9631335,Semillero,,S,Alme,,S_Alme_1/903
869,1,904,14,Palisangre,95,18,24,1,8.293,674803,9631217,Aprovechable,,,Pali,,Pali_1/904
870,1,905,14,Machimango,70,18,23,1,4.503,674804,9631217,Aprovechable,,,Mach,,Mach_1/905
871,1,906,14,Cumala llorona,52,19,23,2,2.623,674824,9631166,Aprovechable,,,Cuma,ll,Cuma ll_1/906
872,1,907,14,Copal,58,20,24,1,3.435,674827,9631157,Aprovechable,,,Copa,,Copa_1/907
873,1,908,14,Tornillo,110,22,26,1,13.59,674815,9631147,Aprovechable,,,Torn,,Torn_1/908
874,1,909,14,Ana caspi,80,19,23,2,6.208,674821,9631122,Aprovechable,,,Ana ,ca,Ana  ca_1/909
875,1,910,14,Aguanillo,58,18,22,1,3.091,674833,9631123,Aprovechable,,,Agua,,Agua_1/910
876,1,911,14,Cumala blanca,59,17,20,2,3.021,674847,9631137,Aprovechable,,,Cuma,bl,Cuma bl_1/911
877,1,912,14,Cumala blanca,53,20,24,1,0,674826,9631081,Semillero,,S,Cuma,bl,S_Cuma bl_1/912
878,1,913,14,Zapotillo,53,19,23,1,2.725,674779,9631043,Aprovechable,,,Zapo,,Zapo_1/913
879,1,914,14,Mashonaste,46,8,16,1,0.864,674770,9630990,Aprovechable,,,Mash,,Mash_1/914
880,1,915,14,Anuje rumo,80,19,22,1,6.208,674827,9630903,Aprovechable,,,Anuj,ru,Anuj ru_1/915
881,1,916,14,Pashaco,70,18,22,2,4.503,674808,9630885,Aprovechable,,,Pash,,Pash_1/916
882,1,917,14,Machimango,57,19,23,1,0,674781,9630852,Semillero,,S,Mach,,S_Mach_1/917
883,1,918,14,Cachimbo,77,19,24,1,5.751,674790,9630806,Aprovechable,,,Cach,,Cach_1/918
884,1,919,14,Aguanillo,46,14,18,2,1.512,674806,9630708,Aprovechable,,,Agua,,Agua_1/919
885,1,920,14,Aguanillo,50,14,18,2,1.787,674799,9630645,Aprovechable,,,Agua,,Agua_1/920
886,1,921,14,Almendro,78,19,24,1,5.901,674824,9630654,Aprovechable,,,Alme,,Alme_1/921
887,1,870,15,Ana caspi,62,17,21,1,3.336,674750,9630620,Aprovechable,,,Ana ,ca,Ana  ca_1/870
888,1,871,15,Charapilla,68,16,20,1,3.777,674704,9630666,Aprovechable,,,Char,,Char_1/871
889,1,872,15,Aguanillo,60,18,21,1,3.308,674749,9630692,Aprovechable,,,Agua,,Agua_1/872
890,1,873,15,Cumala caupuri,71,18,21,1,4.632,674755,9630734,Aprovechable,,,Cuma,ca,Cuma ca_1/873
891,1,874,15,Azucar huayo,52,17,21,1,2.347,674762,9630794,Aprovechable,,,Azuc,hu,Azuc hu_1/874
892,1,875,15,Palisangre,69,20,24,1,4.861,674767,9630834,Aprovechable,,,Pali,,Pali_1/875
893,1,876,15,Cumala caupuri,95,19,21,1,8.754,674750,9630840,Aprovechable,,,Cuma,ca,Cuma ca_1/876
894,1,877,15,Aguanillo,59,17,21,1,3.021,674756,9630855,Aprovechable,,,Agua,,Agua_1/877
895,1,878,15,Canela moena,50,17,21,2,2.17,674727,9630855,Aprovechable,,,Cane,mo,Cane mo_1/878
896,1,879,15,Panguana,71,19,24,1,4.89,674730,9630857,Aprovechable,,,Pang,,Pang_1/879
897,1,880,15,Aguanillo,47,18,21,1,2.03,674717,9630847,Aprovechable,,,Agua,,Agua_1/880
898,1,881,15,Machimango negro,73,17,21,1,4.625,674723,9630865,Aprovechable,,,Mach,ne,Mach ne_1/881
899,1,882,15,Cachimbo,57,18,21,1,0,674739,9630898,Semillero,,S,Cach,,S_Cach_1/882
900,1,883,15,Cumala blanca,70,18,21,1,4.503,674751,9630925,Aprovechable,,,Cuma,bl,Cuma bl_1/883
901,1,884,15,Cumala blanca,66,18,21,1,4.003,674756,9630931,Aprovechable,,,Cuma,bl,Cuma bl_1/884
902,1,885,15,Cumala llorona,54,18,21,1,2.68,674764,9630949,Aprovechable,,,Cuma,ll,Cuma ll_1/885
903,1,886,15,Panguana,71,17,22,1,4.375,674751,9631051,Aprovechable,,,Pang,,Pang_1/886
904,1,887,15,Almendro,72,15,21,1,3.97,674748,9631060,Aprovechable,,,Alme,,Alme_1/887
905,1,888,15,Cumala caupuri,53,18,21,1,0,674729,9631073,Semillero,,S,Cuma,ca,S_Cuma ca_1/888
906,1,889,15,Yacushapana,54,19,23,1,0,674701,9631074,Semillero,,S,Yacu,,S_Yacu_1/889
907,1,890,15,Anuje rumo,64,17,20,1,3.555,674682,9631083,Aprovechable,,,Anuj,ru,Anuj ru_1/890
908,1,891,15,Cumala llorona,46,17,20,1,0,674730,9631118,Semillero,,S,Cuma,ll,S_Cuma ll_1/891
909,1,892,15,Panguana,91,19,23,1,8.032,674751,9631145,Aprovechable,,,Pang,,Pang_1/892
910,1,893,15,Almendro,59,13,18,1,2.31,674745,9631154,Aprovechable,,,Alme,,Alme_1/893
911,1,894,15,Yacushapana,55,16,20,1,2.471,674737,9631150,Aprovechable,,,Yacu,,Yacu_1/894
912,1,895,15,Aguanillo,57,18,21,1,2.986,674741,9631167,Aprovechable,,,Agua,,Agua_1/895
913,1,896,15,Palisangre,97,16,21,1,7.685,674729,9631188,Aprovechable,,,Pali,,Pali_1/896
914,1,897,15,Pashaco,68,17,21,2,4.013,674709,9631213,Aprovechable,,,Pash,,Pash_1/897
915,1,898,15,Caimitillo,68,18,22,1,4.249,674734,9631263,Aprovechable,,,Caim,,Caim_1/898
916,1,899,15,Cumala llorona,69,17,20,2,4.132,674746,9631291,Aprovechable,,,Cuma,ll,Cuma ll_1/899
917,1,900,15,Cumala blanca,51,18,21,1,2.39,674741,9631420,Aprovechable,,,Cuma,bl,Cuma bl_1/900
918,1,1001,15,Mari mari,47,15,19,2,1.692,674736,9631446,Aprovechable,,,Mari,ma,Mari ma_1/1001
919,1,1002,15,Moena,75,18,21,2,5.169,674748,9631507,Aprovechable,,,Moen,,Moen_1/1002
920,1,1003,15,Panguana,54,17,20,1,0,674737,9631537,Semillero,,S,Pang,,S_Pang_1/1003
921,1,1004,15,Anuje rumo,86,16,20,2,6.041,674719,9631539,Aprovechable,,,Anuj,ru,Anuj ru_1/1004
922,1,1005,15,Pashaco,61,14,18,1,2.659,674732,9631690,Aprovechable,,,Pash,,Pash_1/1005
923,1,1006,15,Cumala blanca,49,18,21,1,2.206,674720,9631692,Aprovechable,,,Cuma,bl,Cuma bl_1/1006
924,1,1007,15,Cumala caupuri,65,18,21,1,3.882,674704,9631735,Aprovechable,,,Cuma,ca,Cuma ca_1/1007
925,1,1008,15,Pashaco,68,16,21,1,3.777,674708,9631758,Aprovechable,,,Pash,,Pash_1/1008
926,1,1009,15,Pashaco,81,18,21,1,6.029,674746,9631852,Aprovechable,,,Pash,,Pash_1/1009
927,1,1010,15,Cumala blanca,105,18,21,1,10.131,674706,9631892,Aprovechable,,,Cuma,bl,Cuma bl_1/1010
928,1,1011,15,Quinilla,70,17,21,1,4.253,674703,9631893,Aprovechable,,,Quin,,Quin_1/1011
929,1,1012,15,Aguanillo,46,17,20,1,1.836,674701,9631977,Aprovechable,,,Agua,,Agua_1/1012
930,1,1013,15,Machimango,82,17,21,2,5.836,674692,9632039,Aprovechable,,,Mach,,Mach_1/1013
931,1,1014,15,Machimango negro,56,16,21,1,2.562,674726,9632096,Aprovechable,,,Mach,ne,Mach ne_1/1014
932,1,1015,15,Lupuna,66,20,24,1,4.448,674720,9632136,Aprovechable,,,Lupu,,Lupu_1/1015
933,1,1016,15,Lupuna,110,19,23,1,11.737,674716,9632215,Aprovechable,,,Lupu,,Lupu_1/1016
934,1,1017,15,Cumala blanca,60,17,20,1,3.124,674686,9632239,Aprovechable,,,Cuma,bl,Cuma bl_1/1017
935,1,1018,16,Cachimbo,110,18,21,1,11.119,674644,9632222,Aprovechable,,,Cach,,Cach_1/1018
936,1,1019,16,Pashaco,66,12,19,2,2.669,674624,9632234,Aprovechable,,,Pash,,Pash_1/1019
937,1,1020,16,Anuje rumo,79,18,21,1,5.735,674617,9632238,Aprovechable,,,Anuj,ru,Anuj ru_1/1020
938,1,1021,16,Cumala llorona,54,14,20,2,2.084,674593,9632244,Aprovechable,,,Cuma,ll,Cuma ll_1/1021
939,1,1022,16,Pashaco,57,11,19,1,0,674622,9632037,Semillero,,S,Pash,,S_Pash_1/1022
940,1,1023,16,Panguana,92,14,20,1,6.049,674628,9631761,Aprovechable,,,Pang,,Pang_1/1023
941,1,1024,16,Cumala blanca,70,18,21,1,4.503,674642,9631711,Aprovechable,,,Cuma,bl,Cuma bl_1/1024
942,1,1025,16,Cumala blanca,48,17,20,1,2,674619,9631575,Aprovechable,,,Cuma,bl,Cuma bl_1/1025
943,1,1026,16,Pashaco,110,20,24,1,12.354,674650,9631510,Aprovechable,,,Pash,,Pash_1/1026
944,1,1027,16,Canela moena,59,10,16,2,1.777,674643,9631414,Aprovechable,,,Cane,mo,Cane mo_1/1027
945,1,1028,16,Cumala blanca,48,16,20,1,1.882,674679,9631400,Aprovechable,,,Cuma,bl,Cuma bl_1/1028
946,1,1029,16,Cumala blanca,52,18,22,1,0,674683,9631398,Semillero,,S,Cuma,bl,S_Cuma bl_1/1029
947,1,1030,16,Anuje rumo,55,17,21,1,2.625,674659,9631380,Aprovechable,,,Anuj,ru,Anuj ru_1/1030
948,1,1031,16,Cumala blanca,47,16,20,1,1.804,674667,9631369,Aprovechable,,,Cuma,bl,Cuma bl_1/1031
949,1,1032,16,Moena,47,15,20,1,1.692,674674,9631366,Aprovechable,,,Moen,,Moen_1/1032
950,1,1033,16,Pashaco,75,17,22,1,4.882,674665,9631341,Aprovechable,,,Pash,,Pash_1/1033
951,1,1034,16,Cumala blanca,49,16,20,1,1.961,674651,9631322,Aprovechable,,,Cuma,bl,Cuma bl_1/1034
952,1,1035,16,Almendro,110,15,21,1,9.266,674644,9631318,Aprovechable,,,Alme,,Alme_1/1035
953,1,1036,16,Cumala llorona,52,14,18,1,1.933,674646,9631315,Aprovechable,,,Cuma,ll,Cuma ll_1/1036
954,1,1037,16,Anuje rumo,81,16,20,1,5.359,674658,9631289,Aprovechable,,,Anuj,ru,Anuj ru_1/1037
955,1,1038,16,Anuje rumo,81,17,20,1,5.694,674664,9631300,Aprovechable,,,Anuj,ru,Anuj ru_1/1038
956,1,1039,16,Anuje rumo,65,18,21,1,0,674627,9631279,Semillero,,S,Anuj,ru,S_Anuj ru_1/1039
957,1,1040,16,Anuje rumo,71,16,21,1,4.118,674605,9631286,Aprovechable,,,Anuj,ru,Anuj ru_1/1040
958,1,1041,16,Cumala llorona,65,16,19,1,3.451,674658,9631256,Aprovechable,,,Cuma,ll,Cuma ll_1/1041
959,1,1042,16,Mari mari,55,14,19,1,2.162,674684,9631258,Aprovechable,,,Mari,ma,Mari ma_1/1042
960,1,1043,16,Cumala caupuri,50,16,19,1,2.042,674660,9631206,Aprovechable,,,Cuma,ca,Cuma ca_1/1043
961,1,1044,16,Marupa,81,12,19,1,4.019,674698,9631162,Aprovechable,,,Maru,,Maru_1/1044
962,1,1045,16,Marupa,58,15,20,1,2.576,674700,9631152,Aprovechable,,,Maru,,Maru_1/1045
963,1,1046,16,Cumala blanca,49,18,20,1,2.206,674677,9631165,Aprovechable,,,Cuma,bl,Cuma bl_1/1046
964,1,1047,16,Aguanillo,67,18,21,1,4.125,674648,9631131,Aprovechable,,,Agua,,Agua_1/1047
965,1,1048,16,Cumala caupuri,53,19,22,1,2.725,674661,9631106,Aprovechable,,,Cuma,ca,Cuma ca_1/1048
966,1,1049,16,Mari mari,110,18,22,1,11.119,674638,9631044,Aprovechable,,,Mari,ma,Mari ma_1/1049
967,1,1050,16,Pashaco,73,18,21,1,4.897,674642,9631029,Aprovechable,,,Pash,,Pash_1/1050
968,1,1051,16,Cumala caupuri,68,18,21,2,4.249,674662,9631037,Aprovechable,,,Cuma,ca,Cuma ca_1/1051
969,1,1052,16,Yacushapana,61,10,18,1,1.9,674667,9631040,Aprovechable,,,Yacu,,Yacu_1/1052
970,1,1053,16,Almendro,49,12,18,1,0,674661,9631006,Semillero,,S,Alme,,S_Alme_1/1053
971,1,1054,16,Aguanillo,46,17,21,1,1.836,674678,9631005,Aprovechable,,,Agua,,Agua_1/1054
972,1,1055,16,Marupa,47,16,21,1,1.804,674679,9631004,Aprovechable,,,Maru,,Maru_1/1055
973,1,1056,16,Aguanillo,46,18,21,1,1.944,674635,9630959,Aprovechable,,,Agua,,Agua_1/1056
974,1,1057,16,Yacushapana,142,18,22,2,18.529,674637,9630937,Aprovechable,,,Yacu,,Yacu_1/1057
975,1,1058,16,Cachimbo,57,17,20,1,2.82,674643,9630924,Aprovechable,,,Cach,,Cach_1/1058
976,1,1059,16,Cumala caupuri,55,16,20,1,2.471,674634,9630919,Aprovechable,,,Cuma,ca,Cuma ca_1/1059
977,1,1060,16,Aguanillo,48,17,21,1,2,674629,9630899,Aprovechable,,,Agua,,Agua_1/1060
978,1,1061,16,Ana caspi,76,18,22,2,5.308,674589,9630912,Aprovechable,,,Ana ,ca,Ana  ca_1/1061
979,1,1062,16,Anuje rumo,55,18,21,1,0,674626,9630891,Semillero,,S,Anuj,ru,S_Anuj ru_1/1062
980,1,1063,16,Cumala llorona,65,17,21,1,3.667,674642,9630868,Aprovechable,,,Cuma,ll,Cuma ll_1/1063
981,1,1064,16,Cumala caupuri,79,19,22,1,6.054,674635,9630870,Aprovechable,,,Cuma,ca,Cuma ca_1/1064
982,1,1065,16,Cumala blanca,60,18,22,1,3.308,674633,9630847,Aprovechable,,,Cuma,bl,Cuma bl_1/1065
983,1,1066,16,Ana caspi,92,20,24,1,0,674657,9630834,Semillero,,S,Ana ,ca,S_Ana  ca_1/1066
984,1,1067,16,Aguanillo,87,16,21,1,6.182,674671,9630814,Aprovechable,,,Agua,,Agua_1/1067
985,1,1068,16,Mari mari,82,19,23,1,6.522,674637,9630664,Aprovechable,,,Mari,ma,Mari ma_1/1068
986,1,922,17,Aguanillo,52,20,23,1,0,674554,9630643,Semillero,,S,Agua,,S_Agua_1/922
987,1,923,17,Pashaco,58,18,24,1,0,674614,9630659,Semillero,,S,Pash,,S_Pash_1/923
988,1,924,17,Canela moena,51,19,22,1,0,674616,9630675,Semillero,,S,Cane,mo,S_Cane mo_1/924
989,1,925,17,Huayruro,50,18,22,1,0,674574,9630700,Semillero,,S,Huay,,S_Huay_1/925
990,1,926,17,Cumala llorona,48,17,21,1,2,674547,9630680,Aprovechable,,,Cuma,ll,Cuma ll_1/926
991,1,927,17,Cumala blanca,60,19,22,1,3.492,674546,9630676,Aprovechable,,,Cuma,bl,Cuma bl_1/927
992,1,928,17,Palisangre,55,18,22,1,2.78,674561,9630731,Aprovechable,,,Pali,,Pali_1/928
993,1,929,17,Machimango,50,20,23,1,0,674594,9630758,Semillero,,S,Mach,,S_Mach_1/929
994,1,930,17,Palisangre,80,21,24,1,6.861,674600,9630750,Aprovechable,,,Pali,,Pali_1/930
995,1,931,17,Azucar huayo,70,20,23,2,5.003,674600,9630773,Aprovechable,,,Azuc,hu,Azuc hu_1/931
996,1,932,17,Zapotillo,52,19,22,1,2.623,674593,9630882,Aprovechable,,,Zapo,,Zapo_1/932
997,1,933,17,Mari mari,53,19,22,1,2.725,674594,9630913,Aprovechable,,,Mari,ma,Mari ma_1/933
998,1,934,17,Panguana,80,21,24,1,6.861,674586,9630923,Aprovechable,,,Pang,,Pang_1/934
999,1,935,17,Zapotillo,70,19,23,2,4.753,674582,9630933,Aprovechable,,,Zapo,,Zapo_1/935
1000,1,936,17,Yacushapana,56,16,19,1,2.562,674553,9630985,Aprovechable,,,Yacu,,Yacu_1/936
1001,1,937,17,Aguanillo,64,19,21,1,3.973,674549,9630991,Aprovechable,,,Agua,,Agua_1/937
1002,1,938,17,Aguanillo,64,18,21,1,3.764,674566,9630987,Aprovechable,,,Agua,,Agua_1/938
1003,1,939,17,Ana caspi,86,17,22,1,6.419,674573,9630996,Aprovechable,,,Ana ,ca,Ana  ca_1/939
1004,1,940,17,Machimango,50,19,22,1,2.425,674603,9631025,Aprovechable,,,Mach,,Mach_1/940
1005,1,941,17,Cumala blanca,50,16,19,2,2.042,674605,9631035,Aprovechable,,,Cuma,bl,Cuma bl_1/941
1006,1,942,17,Mashonaste,49,20,23,1,2.451,674549,9631119,Aprovechable,,,Mash,,Mash_1/942
1007,1,943,17,Cumala llorona,70,22,25,1,5.503,674544,9631139,Aprovechable,,,Cuma,ll,Cuma ll_1/943
1008,1,944,17,Zapotillo,53,17,22,2,2.438,674534,9631148,Aprovechable,,,Zapo,,Zapo_1/944
1009,1,945,17,Machimango,48,22,24,1,2.588,674601,9631149,Aprovechable,,,Mach,,Mach_1/945
1010,1,946,17,Cumala blanca,46,21,24,1,0,674579,9631230,Semillero,,S,Cuma,bl,S_Cuma bl_1/946
1011,1,947,17,Cumala blanca,46,19,22,1,2.052,674577,9631235,Aprovechable,,,Cuma,bl,Cuma bl_1/947
1012,1,948,17,Yacushapana,75,18,21,2,5.169,674554,9631299,Aprovechable,,,Yacu,,Yacu_1/948
1013,1,949,17,Panguana,78,19,23,1,5.901,674571,9631343,Aprovechable,,,Pang,,Pang_1/949
1014,1,950,17,Yacushapana,75,21,24,1,6.03,674602,9631385,Aprovechable,,,Yacu,,Yacu_1/950
1015,1,951,17,Requia,60,19,23,2,3.492,674592,9631396,Aprovechable,,,Requ,,Requ_1/951
1016,1,952,17,Pashaco,60,10,17,1,1.838,674582,9631486,Aprovechable,,,Pash,,Pash_1/952
1017,1,953,17,Cumala blanca,50,18,21,1,2.297,674581,9631517,Aprovechable,,,Cuma,bl,Cuma bl_1/953
1018,1,954,17,Yacushapana,55,19,22,1,0,674591,9631539,Semillero,,S,Yacu,,S_Yacu_1/954
1019,1,955,17,Mari mari,50,16,21,1,2.042,674579,9631689,Aprovechable,,,Mari,ma,Mari ma_1/955
1020,1,956,17,Canela moena,50,18,22,1,2.297,674582,9631746,Aprovechable,,,Cane,mo,Cane mo_1/956
1021,1,957,17,Cumala llorona,58,20,23,1,3.435,674574,9631860,Aprovechable,,,Cuma,ll,Cuma ll_1/957
1022,1,958,17,Cumala llorona,85,21,24,1,7.746,674598,9631900,Aprovechable,,,Cuma,ll,Cuma ll_1/958
1023,1,959,17,Cumala blanca,58,22,25,1,3.778,674596,9631937,Aprovechable,,,Cuma,bl,Cuma bl_1/959
1024,1,960,17,Mari mari,67,22,25,1,0,674584,9631988,Semillero,,S,Mari,ma,S_Mari ma_1/960
1025,1,961,17,Cumala blanca,46,18,22,1,1.944,674577,9631981,Aprovechable,,,Cuma,bl,Cuma bl_1/961
1026,1,962,17,Panguana,64,21,23,2,4.391,674568,9632005,Aprovechable,,,Pang,,Pang_1/962
1027,1,963,17,Pashaco,85,20,23,1,7.377,674565,9632033,Aprovechable,,,Pash,,Pash_1/963
1028,1,964,17,Pashaco,50,21,24,1,0,674580,9632042,Semillero,,S,Pash,,S_Pash_1/964
1029,1,965,17,Pashaco,90,20,25,1,0,674575,9632221,Semillero,,S,Pash,,S_Pash_1/965
1030,1,1101,18,Cumala blanca,66,18,23,1,4.003,674496,9630619,Aprovechable,,,Cuma,bl,Cuma bl_1/1101
1031,1,1102,18,Cumala blanca,50,16,22,1,0,674529,9630639,Semillero,,S,Cuma,bl,S_Cuma bl_1/1102
1032,1,1103,18,Caimitillo,52,12,18,2,1.657,674513,9630686,Aprovechable,,,Caim,,Caim_1/1103
1033,1,1104,18,Aguanillo,57,16,21,1,2.654,674506,9630678,Aprovechable,,,Agua,,Agua_1/1104
1034,1,1105,18,Machimango,60,16,22,1,2.941,674500,9630672,Aprovechable,,,Mach,,Mach_1/1105
1035,1,1106,18,Cumala blanca,62,18,23,2,3.532,674506,9630712,Aprovechable,,,Cuma,bl,Cuma bl_1/1106
1036,1,1107,18,Zapotillo,53,16,22,1,2.294,674513,9630704,Aprovechable,,,Zapo,,Zapo_1/1107
1038,1,1109,18,Cachimbo,53,12,18,1,1.721,674463,9630750,Aprovechable,,,Cach,,Cach_1/1109
1039,1,1110,18,Caimitillo,50,14,20,1,0,674469,9630782,Semillero,,S,Caim,,S_Caim_1/1110
1040,1,1111,18,Cumala blanca,64,18,23,1,3.764,674499,9630789,Aprovechable,,,Cuma,bl,Cuma bl_1/1111
1041,1,1112,18,Cumala blanca,46,12,19,1,0,674512,9630778,Semillero,,S,Cuma,bl,S_Cuma bl_1/1112
1042,1,1113,18,Cumala blanca,51,12,18,2,1.593,674521,9630771,Aprovechable,,,Cuma,bl,Cuma bl_1/1113
1043,1,1114,18,Cumala blanca,53,18,22,1,2.581,674530,9630789,Aprovechable,,,Cuma,bl,Cuma bl_1/1114
1044,1,1115,18,Cumala blanca,60,20,24,2,3.676,674535,9630799,Aprovechable,,,Cuma,bl,Cuma bl_1/1115
1045,1,1116,18,Pashaco,78,16,22,1,4.97,674532,9630837,Aprovechable,,,Pash,,Pash_1/1116
1046,1,1117,18,Cumala llorona,86,20,24,1,7.551,674537,9630914,Aprovechable,,,Cuma,ll,Cuma ll_1/1117
1047,1,1118,18,Quillosisa,72,17,22,2,4.499,674547,9630928,Aprovechable,,,Quil,,Quil_1/1118
1048,1,1119,18,Almendro,106,18,24,1,10.325,674526,9630946,Aprovechable,,,Alme,,Alme_1/1119
1049,1,1120,18,Zapotillo,50,12,18,1,1.532,674513,9630982,Aprovechable,,,Zapo,,Zapo_1/1120
1050,1,1121,18,Marupa,71,20,25,1,5.147,674489,9631022,Aprovechable,,,Maru,,Maru_1/1121
1051,1,1122,18,Cumala caupuri,70,20,24,1,5.003,674474,9631068,Aprovechable,,,Cuma,ca,Cuma ca_1/1122
1052,1,1123,18,Cumala caupuri,69,22,26,1,5.347,674474,9631087,Aprovechable,,,Cuma,ca,Cuma ca_1/1123
1053,1,1124,18,Mari mari,66,18,23,1,4.003,674449,9631072,Aprovechable,,,Mari,ma,Mari ma_1/1124
1054,1,1125,18,Anuje rumo,72,18,22,1,4.764,674509,9631104,Aprovechable,,,Anuj,ru,Anuj ru_1/1125
1055,1,1126,18,Ana caspi,52,14,19,2,1.933,674479,9631144,Aprovechable,,,Ana ,ca,Ana  ca_1/1126
1056,1,1127,18,Palisangre,82,16,20,1,5.492,674479,9631151,Aprovechable,,,Pali,,Pali_1/1127
1057,1,1128,18,Palisangre,91,20,23,1,8.455,674444,9631157,Aprovechable,,,Pali,,Pali_1/1128
1058,1,1129,18,Machimango,80,18,23,2,5.881,674549,9631202,Aprovechable,,,Mach,,Mach_1/1129
1059,1,1130,18,Mari mari,83,18,22,1,6.33,674497,9631212,Aprovechable,,,Mari,ma,Mari ma_1/1130
1060,1,1131,18,Charapilla,96,19,24,1,8.939,674495,9631298,Aprovechable,,,Char,,Char_1/1131
1061,1,1132,18,Aguanillo,52,17,22,1,2.347,674531,9631326,Aprovechable,,,Agua,,Agua_1/1132
1062,1,1133,18,Cumala blanca,50,18,22,1,0,674529,9631350,Semillero,,S,Cuma,bl,S_Cuma bl_1/1133
1063,1,1134,18,Quillosisa,78,20,25,1,6.212,674508,9631447,Aprovechable,,,Quil,,Quil_1/1134
1064,1,1135,18,Aguanillo,46,12,18,2,1.296,674513,9631454,Aprovechable,,,Agua,,Agua_1/1135
1065,1,1136,18,Anuje rumo,50,12,17,1,0,674481,9631580,Semillero,,S,Anuj,ru,S_Anuj ru_1/1136
1066,1,1137,18,Azucar huayo,55,17,21,1,2.625,674498,9631670,Aprovechable,,,Azuc,hu,Azuc hu_1/1137
1067,1,1138,18,Cumala llorona,63,12,19,2,2.431,674518,9631724,Aprovechable,,,Cuma,ll,Cuma ll_1/1138
1068,1,1139,18,Almendro,78,17,22,1,5.28,674513,9631725,Aprovechable,,,Alme,,Alme_1/1139
1069,1,1140,18,Almendro,67,16,19,1,3.667,674507,9631743,Aprovechable,,,Alme,,Alme_1/1140
1070,1,1141,18,Cumala caupuri,56,19,25,1,3.042,674483,9631784,Aprovechable,,,Cuma,ca,Cuma ca_1/1141
1071,1,1142,18,Cumala blanca,57,20,24,1,3.317,674479,9631862,Aprovechable,,,Cuma,bl,Cuma bl_1/1142
1072,1,1143,18,Cumala blanca,50,16,20,1,2.042,674464,9631872,Aprovechable,,,Cuma,bl,Cuma bl_1/1143
1073,1,1144,18,Cumala blanca,64,18,23,1,3.764,674476,9631885,Aprovechable,,,Cuma,bl,Cuma bl_1/1144
1074,1,1145,18,Moena,66,20,24,1,4.448,674478,9631920,Aprovechable,,,Moen,,Moen_1/1145
