,Dap,Dap,Dap,Dap,Dap,Dap,Dap,Dap,HC,HC,HC,HC,HC,HC,HC,HC,HT,HT,HT,HT,HT,HT,HT,HT,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,ESTE,ESTE,ESTE,ESTE,ESTE,ESTE,ESTE,ESTE,NORTE,NORTE,NORTE,NORTE,NORTE,NORTE,NORTE,NORTE
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Mari mari,153.0,71.08496732026144,18.14631603631201,46.0,57.0,68.0,81.0,126.0,153.0,16.607843137254903,3.297198360405964,9.0,15.0,17.0,18.0,25.0,153.0,20.915032679738562,2.897248496006033,14.0,19.0,21.0,22.0,29.0,153.0,4.698254901960784,2.8752878517898264,1.276,2.531,3.78,6.33,14.825,153.0,675268.0998379085,1331.8319631528589,673560.2752,674086.0,675049.0,676058.0,678069.0,153.0,9632264.045784315,1579.8911704885131,9630623.0,9631072.0,9631651.0,9632913.0,9636537.0
Marupa,62.0,59.064516129032256,9.897625096401455,46.0,50.0,58.0,66.0,81.0,62.0,15.838709677419354,3.014682912326274,8.0,14.0,16.0,18.0,23.0,62.0,20.612903225806452,2.6572192954146354,13.0,19.0,20.0,22.0,28.0,62.0,2.920032258064517,1.2007794049159186,1.226,1.8322500000000002,2.8625,3.52875,6.535,62.0,675225.7096774194,1240.3368181779347,673564.0,674107.75,675036.0,675928.75,678079.0,62.0,9632089.85483871,1405.7717657113778,9630680.0,9631083.5,9631813.0,9632173.0,9636234.0
Mashonaste,16.0,60.75,13.868429375143148,46.0,50.0,59.0,63.5,100.0,16.0,15.5,3.245509718570156,8.0,14.0,16.0,18.0,20.0,16.0,20.375,2.5787593916455256,16.0,18.75,20.5,22.25,25.0,16.0,3.1043125,1.8735095665176982,0.864,2.042,2.7925000000000004,3.182,9.189,16.0,674908.8125,1076.340604006619,673651.0,674035.5,674803.5,675499.25,677533.0,16.0,9632231.375,1771.0368290919305,9630643.0,9630973.5,9631427.5,9632612.75,9635725.0
Moena,11.0,61.45454545454545,9.21263953884701,47.0,55.5,63.0,68.0,75.0,11.0,16.181818181818183,2.821991559809555,12.0,15.0,15.0,18.0,20.0,11.0,20.181818181818183,2.400757456228422,16.0,19.0,20.0,22.0,24.0,11.0,3.208,1.2091666551803355,1.692,2.349,2.757,4.1,5.169,11.0,675250.3636363636,1419.9799486420416,673562.0,674414.5,674748.0,676218.5,677718.0,11.0,9631761.727272727,1376.2129261788737,9630621.0,9631128.0,9631453.0,9631718.5,9635755.0
Palisangre,141.0,79.34042553191489,15.582879702340936,48.0,68.0,79.0,90.0,126.0,141.0,15.787234042553191,2.9900036087849644,8.0,14.0,16.0,18.0,21.0,141.0,20.574468085106382,2.376173522262786,14.0,19.0,21.0,22.0,25.0,141.0,5.291744680851064,2.3977179489919016,1.176,3.492,4.861,6.691,13.232,141.0,675301.304964539,1394.8171203385277,673573.0,674108.0,674874.0,676330.0,678075.0,141.0,9632310.24822695,1539.2132691551428,9630632.0,9631182.0,9631808.0,9632754.0,9636624.0
Palta moena,8.0,52.25,4.234214381508266,47.0,49.0,51.0,55.75,58.0,8.0,11.25,2.659215781283755,8.0,10.0,10.5,12.0,17.0,8.0,16.0,2.390457218668787,13.0,14.75,15.0,18.0,20.0,8.0,1.6073750000000002,0.601848803390733,0.981,1.278,1.4660000000000002,1.7510000000000001,2.92,8.0,674566.375,1295.7529457533838,673736.0,673914.75,674064.5,674452.75,677618.0,8.0,9633818.25,2017.143153075656,9630618.0,9633033.75,9634201.0,9635224.5,9636277.0
Panguana,86.0,83.94186046511628,18.722967745628107,56.0,70.0,80.0,95.75,136.0,86.0,16.941860465116278,2.4750740982980015,10.0,16.0,17.0,18.0,22.0,86.0,21.25581395348837,2.0533246871505333,16.0,20.0,21.5,23.0,26.0,86.0,6.398918604651163,3.1308713172312843,2.722,4.041,5.474500000000001,7.97525,15.53,86.0,675364.8720930233,1255.5212256880466,673567.0,674288.75,675249.0,676446.0,678028.0,86.0,9632256.104651162,1536.9037631402243,9630632.0,9631215.5,9631758.5,9632178.0,9636553.0
Pashaco,175.0,77.17714285714285,14.32414338604031,53.0,68.0,75.0,82.5,140.0,175.0,15.748571428571429,2.821242433218931,7.0,14.0,16.0,18.0,22.0,175.0,20.605714285714285,2.311632609260616,14.0,19.0,21.0,22.0,26.0,175.0,4.9655828571428575,2.1860921184339754,1.751,3.346,4.595,5.881,16.01,175.0,675070.5428571429,1187.6808499397591,673566.0,674156.5,674808.0,675784.0,678076.0,175.0,9632306.405714286,1597.2685164869001,9630641.0,9631138.5,9631758.0,9632986.0,9636711.0
Quillosisa,68.0,65.92647058823529,12.343729058061164,47.0,57.0,63.0,78.0,92.0,68.0,16.102941176470587,2.643718016678789,9.0,14.75,16.0,18.0,24.0,68.0,20.691176470588236,2.395626319134652,14.0,19.0,20.0,22.0,27.0,68.0,3.7552352941176466,1.6256935614532828,1.015,2.53075,3.4915000000000003,4.609,7.346,68.0,675388.0588235294,1366.1822596701368,673581.0,674127.5,675459.0,676686.5,678079.0,68.0,9632495.029411765,2044.5555877404854,9630637.0,9631126.75,9631475.0,9632993.0,9636505.0
Quinilla,5.0,60.6,7.46993975879324,51.0,58.0,58.0,66.0,70.0,5.0,17.4,1.51657508881031,15.0,17.0,18.0,18.0,19.0,5.0,21.0,0.7071067811865476,20.0,21.0,21.0,21.0,22.0,5.0,3.3304,0.943058746844543,1.992,3.091,3.091,4.225,4.253,5.0,675274.8,535.8140535670934,674703.0,674960.0,675023.0,675770.0,675918.0,5.0,9631303.6,526.66383965486,9630771.0,9630792.0,9631293.0,9631769.0,9631893.0
Requia,9.0,70.55555555555556,17.02286044640494,49.0,58.0,68.0,79.0,96.0,9.0,14.88888888888889,3.0595932917809696,10.0,12.0,16.0,17.0,19.0,9.0,19.333333333333332,2.5,16.0,18.0,20.0,21.0,23.0,9.0,3.8814444444444445,1.6342679638840683,1.716,2.471,3.777,5.416,5.646,9.0,675703.4444444445,1512.207914864149,674068.0,674133.0,675756.0,677041.0,677567.0,9.0,9632367.222222222,2388.135610564116,9630730.0,9630944.0,9631396.0,9631616.0,9636681.0
Sacha casho,23.0,83.1304347826087,14.98879687034798,56.0,70.5,82.0,90.0,120.0,23.0,16.652173913043477,2.707039571396532,12.0,16.0,16.0,18.0,22.0,23.0,21.347826086956523,2.1660331495023533,17.0,20.0,21.0,23.5,25.0,23.0,6.16108695652174,2.535404879143718,1.921,4.0600000000000005,6.029,7.842499999999999,11.762,23.0,675411.0,1370.748601047153,673653.0,674124.0,675403.0,676384.5,678069.0,23.0,9631818.043478262,1106.795147271488,9630627.0,9630749.0,9631908.0,9632181.5,9634535.0
Tornillo,34.0,120.58823529411765,28.65480830882814,62.0,107.0,119.0,133.75,180.0,34.0,17.61764705882353,3.618259299235786,8.0,16.0,18.0,20.0,23.0,34.0,22.970588235294116,3.415519784903832,12.0,22.0,24.0,25.0,28.0,34.0,13.987588235294117,6.705106245594165,1.57,8.78975,13.7405,16.6035,29.507,34.0,675632.5588235294,1262.7400747718978,673591.0,674827.0,675410.5,676656.0,677961.0,34.0,9631984.44117647,1497.5385094694655,9630615.0,9631152.75,9631533.0,9631957.0,9635960.0
Yacushapana,68.0,76.83823529411765,19.55673743058604,48.0,62.5,75.0,89.0,142.0,68.0,16.014705882352942,2.878083146604846,10.0,14.0,16.0,18.0,21.0,68.0,20.691176470588236,2.351610137129461,16.0,19.0,20.0,22.0,26.0,68.0,5.279073529411766,3.3835623121033054,1.411,2.79475,4.6899999999999995,6.43475,18.529,68.0,674965.1470588235,1233.5264853221515,673573.0,673941.75,674619.5,675762.25,678029.0,68.0,9632356.764705881,1819.1771644759228,9630660.0,9631116.75,9631597.0,9633036.0,9636544.0
Zapotillo,57.0,57.24561403508772,9.245231786004197,44.0,50.0,54.0,65.0,88.0,57.0,17.0,3.0,10.0,16.0,17.0,19.0,23.0,57.0,21.42105263157895,2.665569949915916,16.0,20.0,22.0,23.0,26.0,57.0,2.9119298245614034,1.083373152632375,0.988,2.209,2.725,3.558,7.511,57.0,675070.9122807018,1117.8394863163137,673565.0,674289.0,674928.0,675190.0,677693.0,57.0,9631901.736842105,1387.6745775154586,9630704.0,9630933.0,9631411.0,9632094.0,9636119.0
